Referee,location,Winner,title_bout,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Sideways,R_Stance_Southpaw,R_Stance_Switch,avg_opp_SIG_STR_pct_diff,avg_TD_pct_diff,avg_opp_TD_pct_diff,avg_SUB_ATT_diff,avg_opp_SUB_ATT_diff,avg_REV_diff,avg_opp_REV_diff,avg_SIG_STR_att_diff,avg_opp_SIG_STR_att_diff,avg_SIG_STR_landed_diff,avg_opp_SIG_STR_landed_diff,avg_TOTAL_STR_att_diff,avg_opp_TOTAL_STR_att_diff,avg_TOTAL_STR_landed_diff,avg_opp_TOTAL_STR_landed_diff,avg_TD_att_diff,avg_opp_TD_att_diff,avg_TD_landed_diff,avg_opp_TD_landed_diff,avg_HEAD_att_diff,avg_opp_HEAD_att_diff,avg_HEAD_landed_diff,avg_opp_HEAD_landed_diff,avg_BODY_att_diff,avg_opp_BODY_att_diff,avg_BODY_landed_diff,avg_opp_BODY_landed_diff,avg_LEG_att_diff,avg_opp_LEG_att_diff,avg_LEG_landed_diff,avg_opp_LEG_landed_diff,avg_DISTANCE_att_diff,avg_opp_DISTANCE_att_diff,avg_DISTANCE_landed_diff,avg_opp_DISTANCE_landed_diff,avg_CLINCH_att_diff,avg_opp_CLINCH_att_diff,avg_CLINCH_landed_diff,avg_opp_CLINCH_landed_diff,avg_GROUND_att_diff,avg_opp_GROUND_att_diff,avg_GROUND_landed_diff,avg_opp_GROUND_landed_diff,avg_CTRL_time(seconds)_diff,avg_opp_CTRL_time(seconds)_diff,total_time_fought(seconds)_diff,total_rounds_fought_diff,total_title_bouts_diff,current_win_streak_diff,current_lose_streak_diff,longest_win_streak_diff,wins_diff,losses_diff,draw_diff,win_by_Decision_Majority_diff,win_by_Decision_Split_diff,win_by_Decision_Unanimous_diff,win_by_KO/TKO_diff,win_by_Submission_diff,win_by_TKO_Doctor_Stoppage_diff,Height_cms_diff,Reach_cms_diff,Weight_lbs_diff,age_diff
Jordan Bass, USA,Blue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.34,0.66,0,0,0,0,0,-22,-10.33333333,-6,-1,-22.33333333,0,-7,-0.333333333,1,-0.333333333,0.666666667,0,-21,-9,-5.333333333,0,-0.666666667,0.666666667,-0.333333333,0.666666667,-0.333333333,-2,-0.333333333,-1.666666667,-16.66666667,-11,-2.333333333,-1.666666667,-1.333333333,0.666666667,-0.666666667,0.666666667,-4,0,-3,0,109,1,-67,-1,0,-1,1,-1,-1,1,0,0,0,0,0,-1,0,10.16,17.78,45,-5
Chris Tognoni, USA,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.06,0,-0.17,0,-0.333333333,0.166666667,0,31,16.83333333,7.166666667,8.5,38.33333333,0,13,3.166666667,0.833333333,0.333333333,0,0.333333333,17.83333333,11.33333333,0.5,4.666666667,5.166666667,3.5,1.666666667,2.333333333,8,2,5,1.5,29.16666667,12.83333333,7.5,5.333333333,3.5,1.166666667,1.333333333,1.166666667,-1.666666667,2.833333333,-1.666666667,2,29.5,107,448,4,0,0,1,0,0,1,0,0,0,0,0,0,0,7.62,-2.54,0,-4
Dan Miragliotta, Brazil,Red,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0275,0.25,-0.13,0.047403463,0.030208333,0,-0.333333333,-10.95442708,-29.86458333,-3,-11.75,-4.604166667,0,2,-9.877076491,-1.346608607,-1.333333333,0.25,-0.4375,-8.224739583,-28.66666667,-2.666666667,-10.34446106,-5.245216497,-1.583333333,-2.333333333,-1.372395833,1.5,-0.40625,1.170572917,-0.747981771,-16,-25.01041667,-6.145833333,-9,1.197916667,0.04453125,0.5625,0.416666667,1.333333333,-7.421875,0.81875,-4.833333333,-17.78808594,-51.875,-261.5,-3,0,0,-1,0,0,-1,0,0,0,0,0,0,0,2.54,-7.62,0,-1
Larry Carter, USA,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.005731773,0,0.008261719,-0.008582052,-0.003660297,0,0,-0.571614583,-0.488248698,-0.083333333,0.10043246,-0.706176758,0,0.03125,0.28246127,-0.013275274,0,-0.010367839,0.020833333,-0.366905721,-0.438802083,-0.124641927,-0.074069214,-0.07854983,-0.041666667,-0.033854167,-0.025313314,-0.00141805,0.058797201,-0.046158854,0.05880127,-0.583333333,-0.782552083,-0.3125,-0.177604167,0.03125,-0.004919434,0.028645833,-0.035408783,-0.070849609,-0.005208333,-0.020442708,-1.11E-16,-5.653320313,4.625,-17.34410095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.54,0,0
Herb Dean, USA,Red,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.05671875,-0.22671875,0.43578125,0.255208333,-0.208333333,-0.005208333,0.083333333,-13.41666667,-12.8203125,-5.3515625,-5.1796875,-11.44010417,0,-3.221354167,-12.68229167,-1.7265625,-0.903645833,-0.747395833,-0.494791667,-10.65104167,-11.52604167,-2.864583333,-4.020833333,-1.6328125,-1.3515625,-1.473958333,-1.078125,-1.1328125,0.057291667,-1.013020833,-0.080729167,-6.71875,-9.377604167,-1.697916667,-3.026041667,-1.09375,-1.494791667,-0.747395833,-0.71875,-5.604166667,-1.947916667,-2.90625,-1.434895833,-211.4375,115.75,-333.7109375,-8,0,0,1,0,-2,0,0,-1,0,-2,0,1,0,12.7,0,0,0
Marc Fennell, USA,Red,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.1978125,-0.016875,0.25875,-0.458333333,0.052083333,0,0,-9.625,-16.14583333,-2.354166667,-7.697916667,-14.63541667,0,-7.03125,-9.010416667,-0.947916667,-0.71875,-0.322916667,-0.572916667,-8.28125,-12.42708333,-1.59375,-4.927083333,-0.729166667,-2.71875,-0.135416667,-1.729166667,-0.614583333,-1,-0.625,-1.041666667,-8.916666667,-10.41666667,-2.291666667,-3.625,1.270833333,-1.677083333,0.979166667,-1.385416667,-1.979166667,-4.052083333,-1.041666667,-2.6875,-140.875,-187.21875,-556.53125,-5,0,1,-1,-3,-1,2,0,0,-1,-1,3,-2,0,-2.54,-15.24,0,3
Marc Goddard, New Zealand,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.03171875,0.131640625,-0.435820313,-0.007935079,0.00703125,-0.020833333,0,-13.61080729,-19.79882812,-1.592708333,-6.038671875,-9.732161458,0,1.188411458,-4.579810866,-0.575775274,-0.076432292,0.060416667,-0.322526042,-12.38658854,-17.95559896,-1.212630208,-5.132221476,-1.025685247,-1.411848958,-0.225390625,-0.482161458,-1.2140625,-1.223046875,-0.984114583,-1.139127604,-16.94505208,-22.19947917,-3.476692708,-7.607421875,0.281510417,-0.002994792,0.029947917,0.143229167,0.538411458,-0.11953125,0.089453125,-0.241145833,-15.14550781,-44.89648438,-236.4355469,-28,-1,-2,0,-2,-5,-5,0,0,-1,0,-1,-3,0,0,2.54,0,-2
Dan Miragliotta, USA,Red,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.045,0.43,0,0.666666667,0.166666667,0,-0.166666667,4.666666667,2.666666667,1.5,5.166666667,5,0,2.333333333,-1,-4,0,-0.166666667,0,2.833333333,-6.333333333,0.333333333,-2,-0.166666667,1.333333333,-0.5,0.833333333,2,7.666666667,1.666666667,6.333333333,12.66666667,8.333333333,7,8.833333333,-5.166666667,-5.333333333,-3.333333333,-3.5,-2.833333333,-0.333333333,-2.166666667,-0.166666667,-354,-18,-185.5,-1,-1,-1,1,0,0,0,0,0,0,-1,0,1,0,-5.08,-2.54,10,3
Mario Yamasaki, USA,Red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.12,-0.57,0.075,-0.952596537,0.030208333,-0.083333333,-0.25,14.54557292,11.88541667,5.333333333,4.416666667,15.3125,0,5.916666667,0.706256843,-1.096608607,0.166666667,-1.083333333,0.0625,11.52526042,10.83333333,3.333333333,3.822205607,0.838116837,-0.833333333,0.25,-1.0390625,1.166666667,1.09375,0.920572917,0.918684896,13.25,10.48958333,4.604166667,4.166666667,1.114583333,-1.20546875,0.895833333,-1.25,-2.333333333,0.078125,-1.93125,-0.166666667,-367.5380859,-5.625,-8.75,-7,0,0,-1,-2,-2,-1,0,0,0,0,0,-2,0,2.54,7.62,-10,3
Mario Yamasaki, Germany,Red,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.102336426,-0.060673828,-0.239243164,-0.000276693,-0.07347819,-0.006184896,0,-17.58214518,-9.58429362,-10.18872884,-3.191194661,-18.6475179,0,-10.76217448,-3.818741862,-0.053889974,-1.611417643,-0.032275391,-0.675138346,-10.12742513,-5.41011556,-3.506901042,0.132885742,-5.845784505,-1.077197266,-4.668505859,-0.748323568,-1.608935547,-3.096980794,-2.01332194,-2.575756836,-14.30467122,-4.40086263,-8.557316081,-0.604866536,-2.963818359,-2.182389323,-1.542488607,-1.149869792,-0.313655599,-3.001041667,-0.088924154,-1.436458333,-78.44763184,-113.4777832,-416.7557373,-20,-4,-7,1,-6,-9,1,0,0,0,-2,-5,-1,-1,-5.08,-5.08,20,-2
